source_id                                 display_name                                  provider                             category            provenance             trust                    credential          promotion                     next_unlock                                           
----------------------------------------  --------------------------------------------  -----------------------------------  ------------------  ---------------------  -----------------------  ------------------  ----------------------------  ------------------------------------------------------
prism_daily_ppt_static_zip                PRISM daily precipitation                     PRISM Climate Group                  static_verified     official_primary       verified_live            none                experimental_probe_supported  preserve proof and add contract fixture               
daymet_single_pixel_prcp_rest             Daymet single-pixel REST                      ORNL DAAC                            service_discovered  official_primary       verified_live            none                experimental_probe_supported  preserve proof and add contract fixture               
cdl_arcgis_tiny_export                    USDA NASS CDL ImageServer                     USDA_NASS                            service_discovered  official_primary       verified_live            none                runtime_supported             preserve proof and add contract fixture               
daymet_ncss                               Daymet THREDDS/NCSS                           ORNL DAAC                            credential_gated    official_primary       documented_unverified    earthdata_login     blocked_by_auth               complete credential/session scaffold before live probe
nlcd_annual_landcover                     Annual NLCD land cover                        USGS/MRLC                            credential_gated    official_cloud_mirror  documented_unverified    aws_requester_pays  blocked_by_auth               complete credential/session scaffold before live probe
usgs_3dep_dem                             USGS 3DEP DEM                                 USGS                                 service_discovered  official_primary       documented_unverified    none                blocked_by_adapter            write metadata-only adapter/probe design              
landsat_collection2                       Landsat Collection 2                          USGS                                 credential_gated    official_cloud_mirror  documented_unverified    usgs_m2m_token      blocked_by_auth               complete credential/session scaffold before live probe
sentinel_copernicus_dataspace             Sentinel via Copernicus Data Space            Copernicus                           credential_gated    official_primary       documented_unverified    copernicus_token    blocked_by_auth               complete credential/session scaffold before live probe
modis_nasa_earthdata_cmr                  MODIS via NASA CMR                            NASA Earthdata                       credential_gated    official_primary       documented_unverified    earthdata_login     blocked_by_auth               complete credential/session scaffold before live probe
noaa_ncei_service_class                   NOAA/NCEI service class                       NOAA/NCEI                            service_discovered  official_primary       documented_unverified    none                blocked_by_adapter            write metadata-only adapter/probe design              
chirps_daily_precipitation                CHIRPS daily precipitation                    UCSB CHC                             future_unverified   official_primary       documented_unverified    none                research_only                 verify official docs and endpoint semantics           
terraclimate_monthly                      TerraClimate monthly climate grids            University of Idaho / TerraClimate   future_unverified   official_primary       documented_unverified    none                blocked_by_adapter            write metadata-only adapter/probe design              
worldclim_bioclim_normals                 WorldClim / BioClim climate normals           WorldClim                            future_unverified   official_primary       documented_unverified    none                research_only                 verify official docs and endpoint semantics           
gridmet_daily                             gridMET daily meteorology                     University of Idaho / gridMET        future_unverified   official_primary       documented_unverified    none                blocked_by_adapter            write metadata-only adapter/probe design              
era5_cds                                  ERA5 / ERA5-Land via CDS                      ECMWF Copernicus Climate Data Store  credential_gated    official_primary       documented_unverified    bearer_token        blocked_by_auth               complete credential/session scaffold before live probe
nldas_gldas_gesdisc                       NLDAS/GLDAS via GES DISC                      NASA GES DISC                        credential_gated    official_primary       documented_unverified    earthdata_login     blocked_by_auth               complete credential/session scaffold before live probe
noaa_gfs_nomads_grib_filter               NOAA GFS NOMADS GRIB filter                   NOAA/NCEP                            service_discovered  official_primary       documented_unverified    none                blocked_by_adapter            write metadata-only adapter/probe design              
noaa_hrrr_public_cloud                    NOAA HRRR public cloud/NOMADS                 NOAA                                 future_unverified   official_cloud_mirror  documented_unverified    none                blocked_by_adapter            write metadata-only adapter/probe design              
noaa_mrms_precipitation                   NOAA MRMS precipitation                       NOAA                                 future_unverified   official_primary       documented_unverified    none                blocked_by_adapter            write metadata-only adapter/probe design              
cmip6_esgf                                CMIP6/ESGF climate model outputs              ESGF                                 credential_gated    institutional_mirror   documented_unverified    bearer_token        blocked_by_auth               complete credential/session scaffold before live probe
pangeo_climate_zarr_catalogs              Pangeo-hosted climate/Zarr catalogs           Pangeo community                     mirror_candidate    community_mirror       mirror_needs_validation  none                research_only                 verify official docs and endpoint semantics           
microsoft_planetary_computer_stac         Microsoft Planetary Computer STAC candidates  Microsoft Planetary Computer         api_discovered      institutional_mirror   documented_unverified    bearer_token        blocked_by_adapter            complete credential/session scaffold before live probe
opentopography_dem                        OpenTopography DEM sources                    OpenTopography                       api_discovered      official_primary       documented_unverified    bearer_token        blocked_by_auth               complete credential/session scaffold before live probe
eobs_european_climate                     E-OBS European climate grids                  ECA&D / Copernicus-adjacent          mirror_candidate    institutional_mirror   documented_unverified    unknown             research_only                 complete credential/session scaffold before live probe
ecmwf_copernicus_mirror_candidate         ECMWF/Copernicus derived mirror candidates    ECMWF/Copernicus                     mirror_candidate    institutional_mirror   mirror_needs_validation  unknown             research_only                 complete credential/session scaffold before live probe
daymet_single_pixel_rest_duplicate_guard  Daymet single-pixel REST service proof guard  ORNL DAAC                            service_discovered  official_primary       verified_live            none                experimental_probe_supported  run or preserve bounded opt-in probe                  

