source_id,display_name,provider,access_mode,access_pattern_category,provenance_class,trust_level,credential_requirement,promotion_status,probe_result_class,last_http_status,last_bytes_read,last_sha256_present,bounded_probe_appropriate,deterministic_url_generation_direct,deterministic_asset_resolution_after_discovery,next_unlock_step
prism_daily_ppt_static_zip,PRISM daily precipitation,PRISM Climate Group,static_https,static_verified,official_primary,verified_live,none,experimental_probe_supported,pass_verified,206,65536,True,True,True,True,preserve proof and add contract fixture
daymet_single_pixel_prcp_rest,Daymet single-pixel REST,ORNL DAAC,parameterized_rest,service_discovered,official_primary,verified_live,none,experimental_probe_supported,pass_verified,200,474,True,True,True,True,preserve proof and add contract fixture
cdl_arcgis_tiny_export,USDA NASS CDL ImageServer,USDA_NASS,arcgis_imageserver,service_discovered,official_primary,verified_live,none,runtime_supported,pass_verified,200,1146,True,True,True,True,preserve proof and add contract fixture
daymet_ncss,Daymet THREDDS/NCSS,ORNL DAAC,thredds_ncss,credential_gated,official_primary,documented_unverified,earthdata_login,blocked_by_auth,not_in_stack_probe,,0,False,False,False,True,complete auth scaffold before probe
nlcd_annual_landcover,Annual NLCD land cover,USGS/MRLC,s3_requester_pays,credential_gated,official_cloud_mirror,documented_unverified,aws_requester_pays,blocked_by_auth,credential_gated,,0,False,False,False,True,complete auth scaffold before probe
usgs_3dep_dem,USGS 3DEP DEM,USGS,unknown_future,service_discovered,official_primary,documented_unverified,none,blocked_by_adapter,adapter_needed,,0,False,True,False,True,design adapter and metadata probe
landsat_collection2,Landsat Collection 2,USGS,stac_api,credential_gated,official_cloud_mirror,documented_unverified,usgs_m2m_token,blocked_by_auth,adapter_needed,,0,False,False,False,True,complete auth scaffold before probe
sentinel_copernicus_dataspace,Sentinel via Copernicus Data Space,Copernicus,stac_api,credential_gated,official_primary,documented_unverified,copernicus_token,blocked_by_auth,not_in_stack_probe,,0,False,False,False,True,complete auth scaffold before probe
modis_nasa_earthdata_cmr,MODIS via NASA CMR,NASA Earthdata,cmr_api,credential_gated,official_primary,documented_unverified,earthdata_login,blocked_by_auth,not_in_stack_probe,,0,False,False,False,True,complete auth scaffold before probe
noaa_ncei_service_class,NOAA/NCEI service class,NOAA/NCEI,thredds_catalog,service_discovered,official_primary,documented_unverified,none,blocked_by_adapter,not_in_stack_probe,,0,False,True,False,True,design adapter and metadata probe
